model,accuracy,cross_entropy,kl_divergence,jsd,cosine_similarity,pearson_r,spearman_r,precision_at_3
resnet20_linear_jsd_soft_best_acc,0.7535,1.1030837446451187,1.1302845478057861,1.2962055169045925,0.7900481428951025,0.22576716542243958,0.2271523483584677,0.5569661458333334
lightcnn_linear_jsd_soft_best,0.6905,1.1128587871789932,1.062380574643612,1.6341677531599998,0.7460533417761326,0.2017744779586792,0.19563223450657566,0.5449218750000001
resnet_basic_110_linear_kl_soft_best,0.6355,1.059790976345539,0.9757505096495152,2.0811582133173943,0.7080454844981432,0.19046594202518463,0.17209894131235728,0.5205078125000001
resnet20_linear_kl_soft_best_acc,0.7445,0.8106250567361712,0.7772199977189302,1.3260458707809448,0.7969682700932026,0.24978876113891602,0.26142697234962997,0.5613606770833335
resnet20_linear_jsd_soft_best,0.7565,1.0874133594334126,1.1113436724990606,1.2715458162128925,0.7937748376280069,0.23531807959079742,0.2359938395903044,0.5485026041666667
lightcnn_linear_kl_soft_best,0.7095,0.8696556240320206,0.7911019921302795,1.7736675329506397,0.7664562184363604,0.22907483577728271,0.20660622374362111,0.5540364583333334
resnet20_linear_entropy_penalty_soft_best_acc,0.7445,0.8380480073392391,0.8228311948478222,1.3591760694980621,0.7914514485746622,0.24571757018566132,0.2540129627832795,0.53369140625
lightcnn_linear_entropy_penalty_soft_best,0.7035,0.8702378831803799,0.793993997387588,1.7168615199625492,0.7669208664447069,0.24209707975387573,0.22286500406681775,0.5548502604166666
resnet20_linear_entropy_penalty_soft_best,0.7405,0.8254076112061739,0.797940393909812,1.3517260272055864,0.7915162947028875,0.2276759147644043,0.23997155375716403,0.5489908854166666
resnet_basic_110_linear_entropy_penalty_soft_best,0.564,1.4102307669818401,1.314769497141242,2.454370390623808,0.6338789016008377,0.1272972822189331,0.12935915014763802,0.5299479166666666
resnet20_linear_kl_soft_best,0.733,0.8124940721318126,0.7589249387383461,1.4627986066043377,0.7873242720961571,0.24339398741722107,0.25946333185779535,0.5509440104166666
lightcnn_linear_kl_soft_best_acc,0.707,0.8751420024782419,0.7979819690808654,1.789539460092783,0.7646817360073328,0.21952608227729797,0.19697793189011956,0.55224609375
lightcnn_linear_entropy_penalty_soft_best_acc,0.6955,0.8847968056797981,0.8070042096078396,1.7439135797321796,0.7633411176502705,0.2430969774723053,0.22706668007774525,0.5525716145833334
vgg16_bn_linear_kl_soft_best,0.793,0.6646591504104435,0.6008719254750758,1.0577333075925708,0.8334684930741787,0.2989521026611328,0.31228868981076724,0.5587565104166669
lightcnn_linear_jsd_soft_best_acc,0.6875,1.1113021429628134,1.0593862794339657,1.6353131383657455,0.7466881480067968,0.19546641409397125,0.19333898175896416,0.5462239583333333
